Name,Price,% Price Px. - 3-Mo,% Price Px. - 12-Mo,Market Capitalization,Enterprise Value,EV / Implied ARR,EV / NTM Revenue,EV / NTM Gross Profit,EV / NTM FCF,Growth Adj. EV / NTM Revenue,Implied ARR,Net New ARR,LTM Revenue,% YoY Growth - Implied ARR,% YoY Growth - LTM Revenue,% YoY Growth - NTM Revenue,% LTM Margins - GM,% LTM Margins - S&M,% LTM Margins - R&D,% LTM Margins - G&A,% LTM Margins - OpEx,% LTM Margins - Operating Income,% LTM Margins - FCF,NTM % FCF Margin,LTM Rule of 40,NTM Rule of 40,Magic Number,Payback Period,Implied Average ACV,Customer Count,Implied ARR / FTE,Annualized OpEx / FTE,Net Dollar Retention,Multiple Return Since IPO
CrowdStrike,$353.74,(4%),8%,"$88,111","$84,616",19.9x,17.7x,22.7x,71.4x,0.84x,"$4,242",$224,"$3,954",23%,29%,21%,78%,32%,19%,6%,57%,21%,27%,25%,56%,46%,0.7,23.1,-,-,$419,$240,112%,10.4x
CS Disco,$4.31,(27%),(37%),$260,$140,0.9x,0.9x,1.2x,-,0.21x,$148,$3,$145,4%,5%,4%,75%,39%,30%,22%,91%,(16%),(8%),(9%),(3%),(4%),0.2,74.8,-,-,$264,$236,-,0.1x
CyberArk,$339.47,8%,31%,"$16,821","$16,009",12.7x,12.2x,14.6x,59.1x,0.39x,"$1,258",$297,"$1,001",41%,33%,32%,84%,41%,21%,10%,72%,12%,22%,21%,55%,52%,3.1,4.6,$132,"9,500",$296,$206,-,21.2x
*Datadog,$101.80,(33%),(17%),"$35,635","$33,288",11.3x,10.4x,12.7x,40.9x,0.54x,"$2,951",$191,"$2,684",25%,26%,19%,72%,23%,28%,5%,57%,15%,29%,25%,55%,45%,1.2,13.6,$98,"30,000",$454,$261,110%,3.8x
Dayforce,$55.39,(28%),(18%),"$8,803","$9,456",5.1x,4.9x,10.0x,40.4x,0.49x,"$1,861",$101,"$1,760",16%,16%,10%,46%,19%,-,21%,50%,(4%),10%,12%,26%,22%,1.2,21.9,$271,"6,876",$176,$83,-,2.5x
DigitalOcean,$36.16,(5%),(7%),"$3,363","$4,631",5.6x,5.2x,8.5x,29.8x,0.40x,$820,$26,$781,13%,13%,13%,61%,7%,14%,16%,37%,25%,12%,18%,25%,31%,1.7,11.2,$5,"165,000",$677,$239,99%,0.8x
Docebo,$29.43,(41%),(59%),$896,$805,3.5x,3.3x,4.1x,19.9x,0.29x,$228,$6,$217,16%,20%,11%,81%,31%,20%,13%,67%,14%,13%,17%,33%,28%,0.4,40.0,$57,"3,978",$230,$153,100%,0.6x
DocuSign,$85.76,(9%),49%,"$17,372","$16,533",5.5x,5.3x,6.5x,17.4x,0.67x,"$3,019",$75,"$2,913",8%,8%,8%,65%,32%,13%,9%,53%,12%,31%,30%,38%,38%,0.3,-,$2,"1,600,000",$450,$238,100%,3.0x
*Domo,$8.49,16%,(9%),$332,$418,1.3x,1.3x,1.7x,-,-,$315,($4),$317,(2%),(0.6%),(0.8%),76%,41%,22%,13%,76%,0.2%,(6%),1%,(6%),0.2%,-,-,$128,"2,500",$335,$248,-,0.4x
DoubleVerify,$14.36,(28%),(56%),"$2,384","$2,165",2.8x,3.0x,3.6x,15.5x,0.29x,$762,$84,$657,11%,15%,10%,82%,21%,18%,10%,54%,28%,17%,19%,32%,30%,2.5,5.8,$381,"2,000",$637,$276,124%,0.5x
Doximity,$63.38,22%,128%,"$12,756","$11,924",17.7x,19.3x,21.2x,42.2x,1.57x,$674,$127,$550,25%,17%,12%,92%,20%,13%,5%,39%,54%,42%,46%,60%,58%,4.8,2.7,-,-,$811,$273,117%,2.4x
Dropbox,$25.62,(14%),6%,"$7,733","$9,135",3.5x,3.5x,4.2x,10.8x,1.36x,"$2,574",$19,"$2,548",1%,2%,3%,84%,16%,24%,7%,48%,36%,34%,32%,36%,35%,0.2,76.0,$4,"575,000","$1,168",$540,-,1.2x
Dynatrace,$48.47,(11%),3%,"$14,571","$13,639",7.8x,7.3x,8.6x,29.0x,0.51x,"$1,745",$72,"$1,634",19%,20%,14%,84%,31%,16%,8%,56%,29%,25%,25%,45%,40%,0.6,24.2,$381,"4,000",$324,$192,111%,3.0x
Elastic,$95.10,(9%),(8%),"$10,036","$9,340",6.1x,5.7x,7.5x,39.5x,0.42x,"$1,528",$67,"$1,430",17%,18%,14%,77%,36%,18%,9%,63%,14%,17%,15%,35%,28%,0.5,28.7,$72,"21,350",$449,$269,112%,2.6x
Enfusion,$11.09,4%,20%,"$1,051","$1,044",4.9x,4.4x,6.4x,33.7x,0.25x,$212,$7,$202,14%,16%,18%,69%,12%,11%,33%,47%,22%,15%,13%,31%,31%,1.2,14.4,$231,916,$185,$97,102%,0.7x
EverCommerce,$9.36,(23%),0.1%,"$1,717","$2,110",3.0x,3.2x,4.9x,19.1x,-,$705,($5),$693,0.9%,4%,(6%),66%,17%,11%,14%,42%,24%,12%,17%,15%,11%,-,-,$1,"690,000",$353,$145,91%,0.6x
Expensify,$3.42,(12%),68%,$317,$275,1.9x,1.8x,3.0x,15.0x,0.27x,$148,$6,$139,5%,(8%),7%,63%,8%,9%,23%,39%,24%,12%,12%,4%,19%,2.5,7.9,-,-,"$1,287",$426,-,0.1x
Fastly,$6.85,(35%),(46%),$975,"$1,084",1.9x,1.9x,3.2x,-,0.28x,$562,$13,$544,2%,7%,7%,58%,29%,19%,14%,63%,(5%),(4%),(3%),4%,4%,0.4,57.6,$178,"3,097",$511,$304,-,0.4x
Five9,$29.48,(30%),(50%),"$2,235","$2,462",2.2x,2.2x,3.5x,21.1x,0.22x,"$1,115",$58,"$1,042",17%,14%,10%,62%,25%,12%,7%,43%,19%,8%,10%,22%,20%,0.9,20.1,$372,"3,000",$363,$147,108%,4.2x
Freshworks,$14.88,(10%),(17%),"$4,499","$3,467",4.5x,4.3x,5.0x,16.6x,0.32x,$778,$32,$720,22%,21%,13%,86%,44%,17%,10%,72%,14%,20%,26%,41%,39%,0.4,36.2,$11,"72,200",$177,$116,103%,0.4x
GitLab,$52.08,(11%),(5%),"$8,791","$7,844",9.3x,8.3x,9.2x,48.1x,0.34x,$846,$62,$759,29%,31%,24%,91%,41%,24%,16%,81%,10%,(9%),17%,22%,42%,0.8,16.8,$82,"9,519",$308,$257,123%,0.7x
Guidewire,$185.84,8%,62%,"$15,718","$15,435",13.3x,12.4x,19.3x,64.8x,0.82x,"$1,158",$106,"$1,085",20%,17%,15%,65%,16%,22%,12%,50%,15%,0.5%,19%,18%,34%,2.6,7.1,-,-,$334,$156,-,14.3x
HubSpot,$609.18,(16%),(3%),"$32,416","$31,092",11.1x,10.4x,12.0x,56.1x,0.73x,"$2,813",$134,"$2,628",21%,21%,14%,86%,41%,20%,8%,69%,18%,18%,18%,39%,33%,0.5,28.3,$11,"247,939",$341,$231,-,24.4x
Intapp,$59.28,(14%),77%,"$4,887","$4,624",9.5x,8.6x,11.5x,40.4x,0.55x,$485,$10,$465,17%,19%,16%,76%,26%,23%,15%,63%,13%,18%,21%,37%,37%,0.3,50.0,$183,"2,650",$370,$238,-,2.3x
Intuit,$598.80,(9%),(8%),"$167,566","$171,999",10.9x,8.9x,10.9x,27.9x,0.72x,"$15,852","$2,720","$17,167",17%,14%,12%,82%,24%,13%,7%,44%,39%,33%,32%,47%,44%,3.3,4.6,$0,"100,000,000",$677,$385,-,-
Jamf,$13.17,(11%),(28%),"$1,709","$1,875",2.9x,2.8x,3.4x,15.5x,0.34x,$652,$15,$627,8%,12%,8%,82%,34%,18%,14%,65%,16%,4%,18%,15%,26%,0.3,50.9,$9,"76,500",$251,$161,104%,0.5x
*JFrog,$33.58,11%,(21%),"$3,862","$3,354",7.2x,6.7x,8.0x,32.9x,0.39x,$464,$28,$428,19%,22%,17%,84%,32%,25%,11%,69%,15%,25%,20%,48%,37%,0.8,18.3,$64,"7,300",$290,$189,116%,0.8x
Klaviyo,$33.29,(15%),39%,"$10,049","$9,220",8.5x,7.9x,10.2x,57.1x,0.33x,"$1,081",$140,$937,34%,34%,24%,77%,39%,20%,13%,72%,5%,16%,14%,50%,38%,1.5,10.6,$6,"167,000",$495,$367,108%,1.1x
Lightspeed POS,$10.75,(34%),(17%),"$1,645","$1,003",0.9x,0.8x,1.9x,20.7x,0.05x,"$1,121",$12,"$1,054",17%,22%,16%,25%,21%,10%,7%,38%,(12%),(5%),4%,17%,20%,0.2,-,$2,"500,000",$307,$128,-,0.9x
Monday,$255.87,(6%),18%,"$13,229","$11,873",11.1x,9.7x,10.8x,38.9x,0.39x,"$1,072",$68,$972,32%,33%,25%,90%,51%,17%,8%,76%,14%,30%,25%,64%,50%,0.5,25.8,$4,"245,000",$427,$317,112%,1.7x
MongoDB,$185.37,(31%),(50%),"$15,026","$12,759",5.8x,5.6x,7.4x,85.7x,0.41x,"$2,194",$76,"$2,006",20%,19%,14%,76%,35%,18%,8%,61%,15%,6%,7%,25%,20%,0.4,36.9,$40,"54,500",$390,$224,120%,7.7x
N-able,$7.63,(25%),(42%),"$1,442","$1,726",3.7x,3.5x,4.2x,33.3x,0.67x,$466,$0,$466,7%,10%,5%,84%,26%,17%,11%,53%,31%,13%,11%,24%,16%,0.0,-,$19,"25,000",$263,$143,110%,0.6x
nCino,$28.34,(20%),(5%),"$3,301","$3,284",5.9x,5.5x,8.4x,31.5x,0.40x,$555,$26,$523,14%,13%,14%,66%,18%,21%,10%,49%,17%,14%,18%,27%,31%,1.0,17.2,$275,"1,800",$299,$151,117%,0.9x
*Okta,$112.55,37%,5%,"$19,659","$18,122",6.6x,6.3x,7.8x,24.4x,0.65x,"$2,728",$68,"$2,610",13%,15%,10%,82%,31%,16%,12%,59%,22%,28%,26%,43%,36%,0.3,46.4,$139,"19,650",$461,$264,107%,6.6x
Olo,$6.24,(19%),15%,"$1,076",$729,2.4x,2.2x,3.5x,18.7x,0.12x,$304,$17,$285,21%,25%,18%,61%,16%,20%,14%,50%,12%,9%,12%,34%,29%,1.5,13.2,$406,750,$493,$219,115%,0.2x
OneStream,$21.11,(27%),-,"$4,043","$3,622",6.8x,6.2x,8.8x,60.3x,0.32x,$530,$13,$489,29%,31%,20%,68%,40%,16%,15%,70%,(2%),12%,10%,43%,30%,0.3,62.5,$331,"1,601",$339,$248,118%,1.1x
*PagerDuty,$18.38,(9%),(20%),"$1,696","$1,607",3.4x,3.2x,3.7x,14.4x,0.32x,$476,$12,$457,9%,9%,10%,86%,37%,21%,13%,70%,16%,22%,22%,30%,32%,0.3,48.7,$32,"15,050",$376,$284,107%,0.8x
Palantir,$86.24,13%,253%,"$216,171","$211,271",63.8x,55.8x,68.1x,-,1.73x,"$3,310",$408,"$2,866",36%,29%,32%,83%,23%,12%,13%,43%,39%,40%,40%,69%,72%,2.6,5.6,"$4,656",711,$841,$319,120%,11.9x
Palo Alto Networks,$182.34,(7%),27%,"$122,156","$119,893",13.3x,12.2x,15.9x,32.5x,0.84x,"$9,030",$474,"$8,571",14%,14%,15%,77%,30%,16%,4%,50%,27%,34%,38%,48%,52%,0.8,20.7,-,-,$573,$276,-,26.0x
Paycom,$207.99,(11%),10%,"$11,645","$11,326",5.7x,5.6x,6.8x,28.9x,0.73x,"$1,975",$167,"$1,883",14%,11%,8%,83%,22%,11%,13%,46%,37%,18%,19%,29%,27%,1.7,8.7,$53,"37,543",$270,$120,-,13.9x
Paycor,$22.37,12%,18%,"$4,066","$3,964",5.5x,5.2x,7.6x,53.5x,0.54x,$722,$52,$700,13%,16%,10%,75%,29%,8%,12%,49%,26%,17%,10%,32%,19%,1.0,16.0,$22,"31,000",$227,$116,-,1.0x
Paylocity,$186.24,(7%),11%,"$10,416","$10,316",6.8x,6.3x,8.7x,27.1x,0.72x,"$1,508",$56,"$1,499",16%,16%,9%,74%,21%,14%,9%,45%,29%,21%,23%,37%,32%,0.7,22.8,$39,"39,050",$236,$110,-,11.0x
Paymentus,$29.66,(14%),26%,"$3,781","$3,584",3.5x,3.3x,11.9x,44.2x,0.14x,"$1,032",$105,$872,56%,42%,24%,30%,12%,6%,4%,21%,9%,3%,8%,45%,31%,4.2,10.3,-,-,$518,$119,-,1.4x
Phreesia,$25.45,2%,12%,"$1,512","$1,446",3.4x,3.0x,4.4x,29.9x,0.17x,$427,$19,$405,17%,20%,18%,85%,26%,25%,13%,64%,21%,(3%),10%,17%,28%,0.8,18.9,-,-,$264,$189,-,1.4x
Procore,$68.13,(14%),(14%),"$10,390","$9,649",8.0x,7.5x,8.7x,52.4x,0.62x,"$1,208",$25,"$1,152",16%,21%,12%,86%,41%,21%,14%,76%,10%,11%,14%,32%,26%,0.2,70.7,$71,"17,088",$287,$246,-,1.0x
Q2,$75.87,(28%),56%,"$4,608","$4,702",6.4x,6.1x,10.9x,36.1x,0.53x,$732,$32,$696,13%,12%,11%,56%,13%,18%,11%,42%,14%,15%,17%,27%,28%,1.5,13.8,$563,"1,300",$296,$122,-,5.8x
Qualys,$126.39,(14%),(24%),"$4,628","$4,100",6.4x,6.3x,7.6x,18.3x,0.88x,$637,$21,$608,10%,10%,7%,83%,19%,15%,6%,39%,44%,38%,34%,48%,42%,0.7,19.6,$64,"10,000",$265,$104,-,10.5x
Rapid7,$27.99,(29%),(46%),"$1,800","$2,296",2.7x,2.7x,3.6x,17.0x,1.02x,$865,$6,$844,5%,9%,3%,74%,32%,16%,7%,54%,20%,18%,16%,27%,18%,0.1,-,$74,"11,727",$358,$195,-,1.7x
RingCentral,$27.00,(31%),(24%),"$2,449","$3,985",1.6x,1.6x,2.0x,7.9x,0.31x,"$2,458",$23,"$2,400",8%,9%,5%,77%,39%,10%,7%,56%,21%,17%,20%,26%,25%,0.1,-,-,-,$577,$323,99%,2.1x
Rubrik,$70.64,(2%),-,"$13,522","$13,139",13.1x,11.4x,14.7x,-,0.26x,"$1,002",$83,$803,38%,37%,44%,85%,66%,29%,15%,111%,(26%),(4%),5%,32%,49%,0.6,22.8,$129,"6,100",$253,$281,120%,2.2x
SailPoint,$18.70,-,-,"$10,408","$15,885",8.4x,16.4x,84.5x,-,0.55x,"$1,882",$293,"$1,648",30%,25%,23%,84%,28%,10%,6%,44%,40%,14%,(0.9%),44%,38%,2.5,5.9,$650,"2,895",$712,$275,114%,0.8x
*Salesforce,$279.40,(21%),(8%),"$269,198","$267,236",6.7x,6.5x,8.2x,19.9x,0.83x,"$39,972","$2,196","$37,895",8%,9%,8%,79%,32%,12%,7%,50%,29%,33%,33%,42%,41%,0.7,20.8,-,-,$511,$263,-,101.6x
Samsara,$38.06,(17%),3%,"$21,543","$20,646",14.2x,13.5x,17.5x,-,0.59x,"$1,458",$109,"$1,249",32%,33%,23%,77%,41%,15%,12%,68%,9%,9%,9%,42%,32%,0.9,17.9,-,-,$381,$272,-,1.7x
SEMrush,$9.70,(27%),(13%),"$1,435","$1,221",3.0x,2.7x,3.3x,22.8x,0.14x,$411,$21,$377,23%,22%,20%,83%,37%,20%,16%,73%,10%,9%,12%,32%,32%,0.6,24.2,$4,"117,000",$263,$190,106%,0.7x
SentinelOne,$18.51,(23%),(21%),"$6,139","$5,417",6.4x,5.4x,6.8x,71.7x,0.17x,$843,$47,$770,28%,34%,31%,79%,49%,22%,14%,85%,(6%),0.7%,7%,35%,39%,0.5,31.6,$57,"11,500",$312,$264,-,0.5x
ServiceNow,$844.33,(25%),8%,"$174,145","$166,550",14.1x,12.8x,15.7x,40.0x,0.68x,"$11,828",$640,"$10,984",21%,22%,19%,83%,30%,17%,6%,54%,29%,31%,32%,54%,51%,0.8,18.3,"$1,408","8,400",$450,$240,-,46.9x
ServiceTitan,$93.00,(7%),-,"$8,853","$8,577",10.8x,9.5x,13.5x,-,0.39x,$797,$25,$724,24%,24%,24%,70%,26%,27%,14%,67%,3%,(2%),5%,24%,29%,0.5,31.7,$81,"8,000",$269,$173,110%,1.3x
Shopify,$94.85,(17%),21%,"$122,814","$118,426",10.5x,10.8x,21.4x,58.9x,0.47x,"$11,248","$2,600","$8,880",31%,26%,23%,51%,15%,12%,4%,32%,19%,18%,18%,44%,41%,8.2,3.0,-,-,"$1,389",$342,-,55.8x
*Snowflake,$156.11,(7%),(2%),"$54,670","$52,068",13.2x,11.6x,16.0x,47.4x,0.49x,"$3,947",$179,"$3,626",27%,29%,24%,73%,36%,24%,7%,67%,6%,24%,25%,54%,48%,0.5,31.5,$354,"11,159",$504,$318,126%,1.3x
Sprinklr,$9.14,1%,(32%),"$2,372","$1,938",2.4x,2.4x,3.3x,16.9x,0.54x,$803,$14,$788,8%,12%,4%,74%,38%,10%,14%,62%,11%,9%,14%,21%,18%,0.2,90.0,-,-,$201,$119,107%,0.6x
Sprout Social,$23.97,(29%),(57%),"$1,384","$1,338",3.1x,3.0x,3.8x,30.9x,0.27x,$428,$18,$406,14%,22%,11%,78%,38%,19%,16%,73%,6%,6%,10%,27%,21%,0.5,32.8,$14,"30,000",$324,$230,-,1.4x
SPS Commerce,$129.43,(33%),(28%),"$4,935","$4,707",6.9x,6.2x,9.0x,26.0x,0.32x,$684,$29,$638,18%,19%,19%,69%,21%,8%,13%,43%,26%,22%,24%,40%,43%,0.8,20.9,$5,"120,000",$246,$105,-,10.8x
Tenable,$36.06,(13%),(22%),"$4,447","$4,292",4.6x,4.4x,5.4x,17.3x,0.49x,$943,$35,$900,11%,13%,9%,81%,37%,15%,9%,61%,20%,24%,25%,36%,34%,0.4,35.3,$21,"44,000",$504,$285,108%,1.6x
The Trade Desk,$53.94,(59%),(30%),"$26,863","$25,254",8.5x,8.7x,10.7x,31.9x,0.48x,"$2,964",$452,"$2,445",22%,26%,18%,82%,18%,13%,13%,44%,38%,26%,27%,51%,46%,3.9,3.7,"$2,203","1,100",$842,$329,-,3.0x
Toast,$34.46,(10%),43%,"$20,516","$19,133",11.8x,3.1x,12.3x,36.7x,0.14x,"$1,626",$72,"$4,960",34%,28%,23%,26%,8%,5%,5%,18%,8%,7%,9%,36%,31%,0.7,66.1,$12,"134,000",$285,$170,111%,0.9x
TriNet,$74.95,(21%),(41%),"$3,712","$4,374",0.9x,1.1x,1.5x,-,-,"$5,108",$160,"$5,004",3%,2%,(22%),94%,6%,1%,4%,87%,8%,4%,(34%),6%,(56%),2.3,5.6,-,-,"$1,419","$1,329",-,4.7x
*Twilio,$98.97,(12%),63%,"$15,139","$13,865",2.9x,2.9x,5.4x,16.5x,0.36x,"$4,779",$245,"$4,458",11%,7%,8%,53%,15%,15%,7%,37%,16%,15%,17%,22%,25%,1.5,15.9,$15,"325,000",$863,$306,106%,6.6x
Tyler Tech,$563.38,(8%),35%,"$24,551","$24,421",11.3x,10.5x,22.3x,41.7x,1.21x,"$2,165",($9),"$2,138",13%,10%,9%,47%,7%,6%,10%,23%,24%,27%,25%,36%,34%,-,-,-,-,$293,$68,-,0.0x
*UiPath,$10.88,(22%),(52%),"$6,062","$4,412",3.1x,2.9x,3.4x,12.0x,0.33x,"$1,419",$154,"$1,411",9%,17%,9%,86%,42%,17%,11%,70%,15%,22%,24%,38%,33%,1.0,13.7,$131,"10,790",$402,$247,113%,0.2x
Veeva,$234.06,2%,0.7%,"$38,852","$33,777",11.7x,11.1x,14.5x,29.2x,1.00x,"$2,884",$87,"$2,747",14%,16%,11%,77%,11%,18%,6%,35%,42%,39%,38%,55%,49%,1.2,13.3,"$1,952","1,477",$395,$136,-,11.7x
Vertex,$33.59,(36%),12%,"$5,313","$5,360",7.5x,7.0x,9.6x,61.6x,0.48x,$714,$32,$667,15%,16%,15%,74%,23%,8%,19%,51%,23%,12%,11%,28%,26%,0.8,19.2,$140,"4,855",$454,$233,109%,1.8x
VTEX,$4.77,(25%),(46%),$876,$665,2.7x,2.6x,3.5x,60.4x,0.18x,$246,$22,$227,1%,13%,14%,75%,27%,22%,12%,60%,15%,12%,4%,24%,19%,1.5,10.6,-,-,$180,$97,107%,0.3x
Waystar,$36.47,7%,-,"$6,590","$7,670",7.9x,7.6x,11.4x,31.8x,1.06x,$976,$16,$944,18%,19%,7%,67%,15%,4%,9%,28%,39%,15%,24%,34%,31%,0.4,41.1,$33,"30,000",$642,$193,110%,1.7x
Weave,$11.20,(28%),(3%),$838,$795,3.7x,3.4x,4.7x,54.9x,0.22x,$217,$7,$204,19%,20%,15%,72%,38%,16%,18%,72%,0.4%,5%,6%,25%,21%,0.4,45.0,-,-,$217,$159,-,0.5x
Wix,$172.59,(21%),25%,"$9,956","$9,813",5.3x,4.9x,7.2x,16.5x,0.37x,"$1,842",$63,"$1,761",14%,13%,13%,69%,22%,21%,6%,49%,20%,27%,30%,40%,43%,0.6,27.0,-,-,$305,$164,106%,10.5x
