Name,Price,% Price Px. - 3-Mo,% Price Px. - 12-Mo,Market Capitalization,Enterprise Value,EV / Implied ARR,EV / NTM Revenue,EV / NTM Gross Profit,EV / NTM FCF,Growth Adj. EV / NTM Revenue,Implied ARR,Net New ARR,LTM Revenue,% YoY Growth - Implied ARR,% YoY Growth - LTM Revenue,% YoY Growth - NTM Revenue,% LTM Margins - GM,% LTM Margins - S&M,% LTM Margins - R&D,% LTM Margins - G&A,% LTM Margins - OpEx,% LTM Margins - Operating Income,% LTM Margins - FCF,NTM % FCF Margin,LTM Rule of 40,NTM Rule of 40,Magic Number,Payback Period,Implied Average ACV,Customer Count,Implied ARR / FTE,Annualized OpEx / FTE,Net Dollar Retention,Multiple Return Since IPO
SEMrush,$9.95,(18%),(17%),"$1,473","$1,259",3.1x,2.8x,3.4x,22.8x,0.14x,$411,$21,$377,23%,22%,20%,83%,37%,20%,16%,73%,10%,9%,12%,32%,32%,0.6,24.2,$4,"117,000",$263,$190,106%,0.7x
SentinelOne,$19.27,(14%),(18%),"$6,395","$5,673",6.7x,5.6x,7.1x,71.7x,0.18x,$843,$47,$770,28%,34%,31%,79%,49%,22%,14%,85%,(6%),0.7%,7%,35%,39%,0.5,31.6,$57,"11,500",$312,$264,-,0.5x
ServiceNow,$827.75,(24%),7%,"$170,714","$163,119",13.8x,12.5x,15.3x,40.0x,0.66x,"$11,828",$640,"$10,984",21%,22%,19%,83%,30%,17%,6%,54%,29%,31%,32%,54%,51%,0.8,18.3,"$1,408","8,400",$450,$240,-,46.9x
ServiceTitan,$94.46,(9%),-,"$8,994","$8,717",10.9x,9.7x,13.7x,-,0.40x,$797,$25,$724,24%,24%,24%,70%,26%,27%,14%,67%,3%,(2%),5%,24%,29%,0.5,31.7,$81,"8,000",$269,$173,110%,1.3x
Shopify,$104.21,(4%),31%,"$134,933","$130,545",11.6x,11.9x,23.5x,58.9x,0.52x,"$11,248","$2,600","$8,880",31%,26%,23%,51%,15%,12%,4%,32%,19%,18%,18%,44%,41%,8.2,3.0,-,-,"$1,389",$342,-,55.8x
*Snowflake,$158.39,(5%),0.0%,"$55,840","$53,238",13.5x,11.9x,16.3x,47.4x,0.50x,"$3,947",$179,"$3,626",27%,29%,24%,73%,36%,24%,7%,67%,6%,24%,25%,54%,48%,0.5,31.5,$354,"11,159",$504,$318,126%,1.3x
Sprinklr,$8.66,(5%),(36%),"$2,241","$1,806",2.3x,2.2x,3.0x,16.9x,0.50x,$803,$14,$788,8%,12%,4%,74%,38%,10%,14%,62%,11%,9%,14%,21%,18%,0.2,90.0,-,-,$201,$119,107%,0.6x
Sprout Social,$25.17,(22%),(58%),"$1,454","$1,407",3.3x,3.1x,4.0x,30.9x,0.29x,$428,$18,$406,14%,22%,11%,78%,38%,19%,16%,73%,6%,6%,10%,27%,21%,0.5,32.8,$14,"30,000",$324,$230,-,1.4x
SPS Commerce,$130.13,(31%),(29%),"$4,962","$4,734",6.9x,6.2x,9.1x,26.0x,0.32x,$684,$29,$638,18%,19%,19%,69%,21%,8%,13%,43%,26%,22%,24%,40%,43%,0.8,20.9,$5,"120,000",$246,$105,-,10.8x
Tenable,$36.25,(12%),(26%),"$4,470","$4,315",4.6x,4.4x,5.4x,17.3x,0.49x,$943,$35,$900,11%,13%,9%,81%,37%,15%,9%,61%,20%,24%,25%,36%,34%,0.4,35.3,$21,"44,000",$504,$285,108%,1.6x
The Trade Desk,$56.31,(55%),(34%),"$28,062","$26,453",8.9x,9.1x,11.2x,31.9x,0.50x,"$2,964",$452,"$2,445",22%,26%,18%,82%,18%,13%,13%,44%,38%,26%,27%,51%,46%,3.9,3.7,"$2,203","1,100",$842,$329,-,3.0x
Toast,$35.19,(6%),44%,"$20,956","$19,573",12.0x,3.2x,12.6x,36.7x,0.14x,"$1,626",$72,"$4,960",34%,28%,23%,26%,8%,5%,5%,18%,8%,7%,9%,36%,31%,0.7,66.1,$12,"134,000",$285,$170,111%,0.9x
TriNet,$76.69,(15%),(42%),"$3,798","$4,460",0.9x,1.1x,1.5x,-,-,"$5,108",$160,"$5,004",3%,2%,(22%),94%,6%,1%,4%,87%,8%,4%,(34%),6%,(56%),2.3,5.6,-,-,"$1,419","$1,329",-,4.7x
*Twilio,$103.45,(4%),68%,"$15,829","$14,554",3.0x,3.0x,5.7x,16.5x,0.38x,"$4,779",$245,"$4,458",11%,7%,8%,53%,15%,15%,7%,37%,16%,15%,17%,22%,25%,1.5,15.9,$15,"325,000",$863,$306,106%,6.6x
Tyler Tech,$566.39,(6%),35%,"$24,686","$24,557",11.3x,10.6x,22.4x,41.7x,1.22x,"$2,165",($9),"$2,138",13%,10%,9%,47%,7%,6%,10%,23%,24%,27%,25%,36%,34%,-,-,-,-,$293,$68,-,0.0x
*UiPath,$10.81,(18%),(54%),"$6,022","$4,373",3.1x,2.8x,3.4x,12.0x,0.33x,"$1,419",$154,"$1,411",9%,17%,9%,86%,42%,17%,11%,70%,15%,22%,24%,38%,33%,1.0,13.7,$131,"10,790",$402,$247,113%,0.2x
Veeva,$236.77,6%,2%,"$39,332","$34,258",11.9x,11.2x,14.7x,29.2x,1.01x,"$2,884",$87,"$2,747",14%,16%,11%,77%,11%,18%,6%,35%,42%,39%,38%,55%,49%,1.2,13.3,"$1,952","1,477",$395,$136,-,11.7x
Vertex,$35.71,(33%),21%,"$5,649","$5,695",8.0x,7.5x,10.2x,61.6x,0.51x,$714,$32,$667,15%,16%,15%,74%,23%,8%,19%,51%,23%,12%,11%,28%,26%,0.8,19.2,$140,"4,855",$454,$233,109%,1.8x
VTEX,$4.84,(15%),(44%),$889,$678,2.8x,2.7x,3.6x,60.4x,0.22x,$246,$22,$227,1%,13%,14%,75%,27%,22%,12%,60%,15%,12%,4%,24%,19%,1.5,10.6,-,-,$180,$97,107%,0.3x
Waystar,$37.48,2%,-,"$6,781","$7,861",8.1x,7.8x,11.7x,31.8x,1.09x,$976,$16,$944,18%,19%,7%,67%,15%,4%,9%,28%,39%,15%,24%,34%,31%,0.4,41.1,$33,"30,000",$642,$193,110%,1.7x
Weave,$11.70,(27%),(2%),$876,$833,3.8x,3.5x,4.9x,54.9x,0.24x,$217,$7,$204,19%,20%,15%,72%,38%,16%,18%,72%,0.4%,5%,6%,25%,21%,0.4,45.0,-,-,$217,$159,-,0.5x
Wix,$172.33,(22%),23%,"$9,850","$9,707",5.3x,4.9x,7.1x,16.5x,0.37x,"$1,842",$63,"$1,761",14%,13%,13%,69%,22%,21%,6%,49%,20%,27%,30%,40%,43%,0.6,27.0,-,-,$305,$164,106%,10.5x
Workday,$249.49,(9%),(10%),"$66,474","$61,819",7.0x,6.5x,8.2x,24.2x,0.51x,"$8,844",$204,"$8,446",15%,16%,13%,79%,25%,23%,7%,55%,24%,26%,26%,42%,39%,0.4,40.6,$758,"10,500",$430,$238,-,8.7x
Workiva,$87.23,(24%),3%,"$4,967","$4,944",6.7x,5.7x,7.3x,48.5x,0.25x,$742,$32,$705,17%,16%,23%,78%,42%,23%,10%,74%,4%,10%,12%,26%,34%,0.4,35.6,-,-,$270,$201,-,6.3x
